name, name_abr, price_value, market_cap, fully_distributed_market_cap, volume_24h, volume_slash_market_cap, circulating_supply 
"World Token","WORLD","$0.04274","$3,872,157","$4,273,628","$105,994","0.02737","90,605,852.66 WORLD"
"SoMee.Social","ONG","$0.04866","$3,902,789","$3,903,528","$95","0.00002429","80,205,465.19 ONG"
"Global Social Chain","GSC","$0.006752","$3,924,161","$6,751,793","$71,174","0.01814","581,202,797.20 GSC"
"SonoCoin","SONO","$0.09936","$2,806,827","$10,197,657","$58,510","0.02085","28,250,406.69 SONO"
"SnowSwap","SNOW","$8.64","$2,810,859","2.31","$4,317,507","$1,214,722","$338,883"
"BitcoinPoS","BPS","$0.6117","$2,812,044","$12,845,145","$2,897","0.00103","4,597,295.13 BPS"
"VINchain","VIN","$0.004658","$2,748,525","$3,912,939","$225,024","0.08187","590,108,901.00 VIN"
"UniFarm","UFARM","$0.07359","$2,824,222","$73,593,595","$12,612","0.004466","38,375,919.00 UFARM"
"Cred","LBA","$0.002851","$2,823,929","$2,851,272","$332,105","0.1176","990,410,204.82 LBA"
"ChangeNOW Token","NOW","$0.03793","$3,164,944","$7,577,823","$38,541","0.01218","83,432,980.23 NOW"
"ContentBox","BOX","$0.001651","$2,838,021","$4,953,676","$38,117","0.01343","1.72B BOX"
"Public Mint","MINT","$0.1512","$2,636,601","$37,800,730","$3,643,898","1.38","17,437,500.00 MINT"
"FedoraCoin","TIPS","$0.0000139","$2,950,327","$6,709,852","$73,389","0.02487","212.27B TIPS"
"Sint-Truidense Voetbalvereniging Fan Token","STV","$14.46","$2,922,461","$14,459,468","- -","--","202,114.00 STV"
"Q DAO Governance token v1.0","QDAO","$11.09","$2,926,190","$11,079,911","$3,471","0.001186","263,856.13 QDAO"
"Tadpole Finance","TAD","$12.71","$2,927,163","$12,706,002","$13,133","0.004487","230,376.42 TAD"
"FairGame","FAIR","$0.003051","$2,928,597","$3,660,747","$1,065,317","0.3638","960,000,000.00 FAIR"
